application_decision_id,loan_application_id,decision_code,decision_method,decision_reason_code,decision_reason,approved_amount,approved_term,annual_interest_rate,decided_by,decided_at,created_at,updated_at
9ad2240f-3282-5ea7-a3af-8ed981c750d7,14465b64-87c3-5442-a9d2-bee0503c7e46,REJECTED,AUTO,CREDIT_SCORE_FAIL,Credit assessment failed,,,,LOS_ENGINE,2026-01-26 09:14:00,2026-01-26 09:14:00,2026-01-26 09:14:00
6252a27a-106d-5fee-a4dc-e863a7eb3c8d,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,REJECTED,AUTO,MIN_INCOME_FAIL,Mandatory income rule failed,,,,LOS_ENGINE,2026-01-31 09:15:00,2026-01-31 09:15:00,2026-01-31 09:15:00
9aa7dc23-2278-52cb-96a7-ff38a32b5ed5,a403d27c-fea1-5830-91f2-38c6523c87cb,MANUAL_REVIEW,AUTO,HIGH_DTI_REFER,Application routed to underwriter,,,,LOS_ENGINE,2026-02-05 09:16:00,2026-02-05 09:16:00,2026-02-05 09:16:00
9328157e-f19f-547b-b4c6-af58b1a05e64,50bbdc4a-0c98-5619-b517-528ec627ac61,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,24000000.00,24,0.2400,LOS_ENGINE,2026-02-10 09:17:00,2026-02-10 09:17:00,2026-02-10 09:17:00
bc1e6a12-6dec-5795-b750-016802a0042c,ae4fac37-93a2-5ba8-b850-5ada19f858e3,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,32000000.00,36,0.2000,LOS_ENGINE,2026-02-15 09:18:00,2026-02-15 09:18:00,2026-02-15 09:18:00
98e2d154-3342-52a7-acf1-175e261ceba3,483af3a1-afca-5552-9372-3a03a7413d79,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,40000000.00,12,0.2400,LOS_ENGINE,2026-02-20 09:19:00,2026-02-20 09:19:00,2026-02-20 09:19:00
910d8593-e0b7-56ba-ae49-ffd37c01b28a,b9473789-25ec-5211-bc02-d9ca8cf51997,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,48000000.00,36,0.2000,LOS_ENGINE,2026-04-11 09:20:00,2026-04-11 09:20:00,2026-04-11 09:20:00
f85dd0a6-1a0e-5c60-9817-93c802f76538,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,56000000.00,36,0.2400,LOS_ENGINE,2026-04-12 09:21:00,2026-04-12 09:21:00,2026-04-12 09:21:00
09d742c8-271a-572a-a885-22213c77a5d4,e57a2ef9-998a-533f-b118-76f1e7b337f3,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,16000000.00,36,0.2000,LOS_ENGINE,2026-04-13 09:22:00,2026-04-13 09:22:00,2026-04-13 09:22:00
d4106095-c406-5a20-b5ee-325c82635859,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,24000000.00,6,0.2400,LOS_ENGINE,2025-01-06 09:23:00,2025-01-06 09:23:00,2025-01-06 09:23:00
