status_history_id,loan_application_id,status_sequence,application_status_code,status_reason,changed_by,changed_at
fe755dcc-0bd4-5093-8e26-77d3d2d6029d,aa8561c1-7d2e-59aa-9fb2-41c409f8a198,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-01-16 09:08:00
487fca3d-bf56-5af5-ade9-48cc6d144095,6840655d-9527-59ef-8180-b1dba8c13b2c,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-01-21 09:09:00
5b0f971f-192f-5c90-95a3-f329e1b5efd3,6840655d-9527-59ef-8180-b1dba8c13b2c,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-01-21 09:10:00
2d263938-5cf3-56cf-ac3b-8ca8eb14c425,14465b64-87c3-5442-a9d2-bee0503c7e46,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-01-26 09:10:00
5d8447ff-dac5-5a44-8654-251871861e75,14465b64-87c3-5442-a9d2-bee0503c7e46,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-01-26 09:11:00
4a0449f9-befb-5518-b17f-1b9ed5e73488,14465b64-87c3-5442-a9d2-bee0503c7e46,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-01-26 09:12:00
e7072473-33d8-549b-9992-b648669e61e5,14465b64-87c3-5442-a9d2-bee0503c7e46,4,REJECTED,Application moved to REJECTED,LOS_ENGINE,2026-01-26 09:13:00
694cd243-4b08-5273-aac0-abb222c56199,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-01-31 09:11:00
0b617c34-af01-5862-86a6-d90c76e1a62f,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-01-31 09:12:00
704fa34c-46a5-5c20-ba86-b26980f79fb2,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-01-31 09:13:00
5e2808fc-865b-5dee-bd87-6c8d5679d06e,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-01-31 09:14:00
e9fade6c-d8b1-5ff1-8b28-9fcb827897b2,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,5,REJECTED,Application moved to REJECTED,LOS_ENGINE,2026-01-31 09:15:00
130ae400-4b14-5561-93ff-16cc3643437f,a403d27c-fea1-5830-91f2-38c6523c87cb,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-02-05 09:12:00
740e8e76-390f-5021-a9db-0ea53304d0cf,a403d27c-fea1-5830-91f2-38c6523c87cb,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-02-05 09:13:00
7d85561e-2da9-59ed-9c77-30592f722dfd,a403d27c-fea1-5830-91f2-38c6523c87cb,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-02-05 09:14:00
0cd1b7c2-b4d5-5bff-8ac0-2b174548282e,a403d27c-fea1-5830-91f2-38c6523c87cb,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-02-05 09:15:00
dd0d5a92-4c26-5bd9-a22e-be36e09e2619,a403d27c-fea1-5830-91f2-38c6523c87cb,5,MANUAL_REVIEW,Application moved to MANUAL_REVIEW,UNDERWRITER,2026-02-05 09:16:00
0c9b9a6f-c88c-5db9-9860-584d939be959,50bbdc4a-0c98-5619-b517-528ec627ac61,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-02-10 09:13:00
1a59ebf2-cefd-5d96-977e-13c59dfbe25a,50bbdc4a-0c98-5619-b517-528ec627ac61,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-02-10 09:14:00
5a603d94-b3db-5b7a-b967-9c6f48e070fc,50bbdc4a-0c98-5619-b517-528ec627ac61,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-02-10 09:15:00
0fc42a54-e793-52d8-a185-bdc6664c329c,50bbdc4a-0c98-5619-b517-528ec627ac61,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-02-10 09:16:00
0d4f5ab9-0a01-5779-bddf-a64a7e556002,50bbdc4a-0c98-5619-b517-528ec627ac61,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-02-10 09:17:00
