credit_assessment_id,loan_application_id,score_model_code,credit_score,risk_level,declared_income,verified_income,monthly_debt_obligation,debt_to_income_ratio,assessment_result,assessed_at,created_at,updated_at
9905c8b5-ab18-5e58-8b65-dbbad0e7574c,14465b64-87c3-5442-a9d2-bee0503c7e46,SCORE_V1,420,VERY_HIGH,18000000.00,16200000.00,2000000.00,0.1235,FAIL,2026-01-26 09:12:00,2026-01-26 09:12:00,2026-01-26 09:12:00
2dfcc65b-26f3-59c8-99a1-8268f20b3bc9,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,SCORE_V1,720,MEDIUM,7500000.00,6750000.00,2000000.00,0.2963,PASS,2026-01-31 09:13:00,2026-01-31 09:13:00,2026-01-31 09:13:00
737784e5-1efb-5e04-a751-3f5e6c7c5dfc,a403d27c-fea1-5830-91f2-38c6523c87cb,SCORE_V1,590,HIGH,22000000.00,19800000.00,10890000.00,0.5500,REFER,2026-02-05 09:14:00,2026-02-05 09:14:00,2026-02-05 09:14:00
5abda453-1b22-569a-b123-a97ad4a943a8,50bbdc4a-0c98-5619-b517-528ec627ac61,SCORE_V1,690,MEDIUM,24000000.00,21600000.00,2000000.00,0.0926,PASS,2026-02-10 09:15:00,2026-02-10 09:15:00,2026-02-10 09:15:00
879d792e-cfeb-52e1-ba99-6c98118fe513,ae4fac37-93a2-5ba8-b850-5ada19f858e3,SCORE_V1,675,LOW,26000000.00,23400000.00,2000000.00,0.0855,PASS,2026-02-15 09:16:00,2026-02-15 09:16:00,2026-02-15 09:16:00
ed4ee607-ddd2-5bc8-ad22-b5d6efb56ecb,483af3a1-afca-5552-9372-3a03a7413d79,SCORE_V1,660,MEDIUM,10000000.00,9000000.00,2000000.00,0.2222,PASS,2026-02-20 09:17:00,2026-02-20 09:17:00,2026-02-20 09:17:00
ba106146-1bd8-5148-b211-bfd6176a2456,b9473789-25ec-5211-bc02-d9ca8cf51997,SCORE_V1,720,LOW,12000000.00,10800000.00,2000000.00,0.1852,PASS,2026-04-11 09:18:00,2026-04-11 09:18:00,2026-04-11 09:18:00
57229970-d97d-5391-9387-aac30dc8d8a4,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,SCORE_V1,705,MEDIUM,14000000.00,12600000.00,2000000.00,0.1587,PASS,2026-04-12 09:19:00,2026-04-12 09:19:00,2026-04-12 09:19:00
8329c33e-9794-522a-ae27-6af6bffcf9e3,e57a2ef9-998a-533f-b118-76f1e7b337f3,SCORE_V1,690,LOW,16000000.00,14400000.00,2000000.00,0.1389,PASS,2026-04-13 09:20:00,2026-04-13 09:20:00,2026-04-13 09:20:00
ea0cd7a9-59a0-5530-92a4-2f49b13a2ec3,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,SCORE_V1,675,MEDIUM,18000000.00,16200000.00,2000000.00,0.1235,PASS,2025-01-06 09:21:00,2025-01-06 09:21:00,2025-01-06 09:21:00
25291df2-e519-5ce9-beb9-59f6df891f17,c8d38c18-ef0d-5a67-a841-2a7855b56940,SCORE_V1,420,VERY_HIGH,10000000.00,9000000.00,2000000.00,0.2222,FAIL,2026-04-06 09:26:00,2026-04-06 09:26:00,2026-04-06 09:26:00
