rule_evaluation_id,loan_application_id,rule_code,rule_name,rule_category,input_value,comparison_operator,threshold_value,evaluation_result,decision_impact,failure_reason,rule_version,evaluated_at,created_at
2795ac57-ae85-577b-a50d-e076a5bf473b,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,MIN_AGE,Minimum age check,ELIGIBILITY,34,GTE,18,PASS,NONE,,V1,2026-01-31 09:14:00,2026-01-31 09:14:00
eb29ffaa-f5a9-58eb-8b07-03d680249bb6,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,MIN_INCOME,Minimum income check,CREDIT,7500000.00,GTE,10000000.00,FAIL,REJECT,Income below minimum threshold,V1,2026-01-31 09:14:00,2026-01-31 09:14:00
272bc4d5-d78a-5da4-b60d-1f5dcab98cef,6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,MAX_DTI,Maximum debt-to-income check,RISK,0.2963,LTE,0.5000,PASS,NONE,,V1,2026-01-31 09:14:00,2026-01-31 09:14:00
28c7f2d8-3b60-5ce1-9c96-80db3afec46c,a403d27c-fea1-5830-91f2-38c6523c87cb,MIN_AGE,Minimum age check,ELIGIBILITY,33,GTE,18,PASS,NONE,,V1,2026-02-05 09:15:00,2026-02-05 09:15:00
bf865aac-e38b-5ccb-9151-a6bfc894eaed,a403d27c-fea1-5830-91f2-38c6523c87cb,MIN_INCOME,Minimum income check,CREDIT,22000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-02-05 09:15:00,2026-02-05 09:15:00
10ffc3b7-8a6a-5284-897b-00a67aa669ea,a403d27c-fea1-5830-91f2-38c6523c87cb,MAX_DTI,Maximum debt-to-income check,RISK,0.5500,LTE,0.5000,REFER,REFER,Debt-to-income ratio requires manual review,V1,2026-02-05 09:15:00,2026-02-05 09:15:00
e3e46ef6-6d64-53fd-89a7-36a9ab297be1,50bbdc4a-0c98-5619-b517-528ec627ac61,MIN_AGE,Minimum age check,ELIGIBILITY,32,GTE,18,PASS,NONE,,V1,2026-02-10 09:16:00,2026-02-10 09:16:00
3929e73a-24db-54d3-be98-918e5390d379,50bbdc4a-0c98-5619-b517-528ec627ac61,MIN_INCOME,Minimum income check,CREDIT,24000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-02-10 09:16:00,2026-02-10 09:16:00
4f2776a5-97a1-5c87-b1f3-d4824f1dd4ab,50bbdc4a-0c98-5619-b517-528ec627ac61,MAX_DTI,Maximum debt-to-income check,RISK,0.0926,LTE,0.5000,PASS,NONE,,V1,2026-02-10 09:16:00,2026-02-10 09:16:00
38875e5f-93cc-51f7-a65d-16a49cea4f03,ae4fac37-93a2-5ba8-b850-5ada19f858e3,MIN_AGE,Minimum age check,ELIGIBILITY,31,GTE,18,PASS,NONE,,V1,2026-02-15 09:17:00,2026-02-15 09:17:00
19f65f1c-6ec6-5a74-b16a-9ed8532be00e,ae4fac37-93a2-5ba8-b850-5ada19f858e3,MIN_INCOME,Minimum income check,CREDIT,26000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-02-15 09:17:00,2026-02-15 09:17:00
e357c208-6989-5349-a637-3ffc8b9bc4ac,ae4fac37-93a2-5ba8-b850-5ada19f858e3,MAX_DTI,Maximum debt-to-income check,RISK,0.0855,LTE,0.5000,PASS,NONE,,V1,2026-02-15 09:17:00,2026-02-15 09:17:00
