contract_id,contract_number,payment_reference_id,loan_application_id,customer_id,disbursement_request_no,principal_amount,term_months,annual_interest_rate,contract_date,disbursement_date,maturity_date,outstanding_principal,contract_status,created_at,updated_at
9adbee12-94c1-5c5c-9f27-b85ae554533e,LN202602000010,PAY20260220000010,483af3a1-afca-5552-9372-3a03a7413d79,865195c6-e965-535b-bfe8-6b960dfb34ba,DIS20260220000010,40000000.00,12,0.2400,2026-02-20,,,40000000.00,PENDING_DISBURSEMENT,2026-02-20 09:20:05,2026-02-20 09:20:05
b8a9a90b-b682-59a3-9f6b-7573bca28843,LN202604000011,PAY20260411000011,b9473789-25ec-5211-bc02-d9ca8cf51997,b600993a-b148-5a0d-bdf9-d3c181d63537,DIS20260411000011,48000000.00,36,0.2000,2026-04-11,2026-04-11,2029-04-11,48000000.00,ACTIVE,2026-04-11 09:21:05,2026-04-11 09:21:05
8344d69e-c363-5cb1-823d-2b2f90b3f593,LN202604000012,PAY20260412000012,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,a77840dc-511a-5267-984d-20af365843de,DIS20260412000012,56000000.00,36,0.2400,2026-04-12,2026-04-12,2029-04-12,55222222.22,ACTIVE,2026-04-12 09:22:05,2026-05-12 09:15:00
62a7c349-5f90-5ac9-9f47-4cb7479a1ab8,LN202604000013,PAY20260413000013,e57a2ef9-998a-533f-b118-76f1e7b337f3,86c833a3-d025-5266-86d0-3ea234869f95,DIS20260413000013,16000000.00,36,0.2000,2026-04-13,2026-04-13,2029-04-13,14666666.68,ACTIVE,2026-04-13 09:23:05,2026-07-13 09:15:00
50c2d458-fb8f-533f-9ca6-dc0ecfa6637a,LN202501000014,PAY20250106000014,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,1e6a019a-d9cf-5477-b203-ff992cc3b728,DIS20250106000014,24000000.00,6,0.2400,2025-01-06,2025-01-06,2025-07-06,0.00,CLOSED,2025-01-06 09:24:05,2025-07-06 09:15:00
f50ea0ce-8073-56ad-a8e6-2f300ea654fc,LN202605000024,PAY20260501000024,35749f54-8cdb-56d9-8f13-f8bdea46301b,55d1354d-60b3-5ce2-8c01-c7fe72539b70,DIS20260501000024,56000000.00,36,0.2400,2026-05-01,,,56000000.00,PENDING_DISBURSEMENT,2026-05-01 09:34:05,2026-05-01 09:34:05
2c388d35-633d-5223-b05b-6953372d60f7,LN202605000025,PAY20260511000025,439e1b77-73e4-577a-8c40-44664b26c0f7,9c77af5d-2917-5d3a-b5ce-0b11fd724114,DIS20260511000025,16000000.00,36,0.2000,2026-05-11,2026-05-11,2029-05-11,16000000.00,ACTIVE,2026-05-11 09:35:05,2026-05-11 09:35:05
16c42b5b-d3f0-5cf0-a9de-ca96509683a4,LN202605000026,PAY20260512000026,0eec06bf-9384-561a-a16b-8e167328b87b,72552407-44ef-5535-a35b-5800112c59c8,DIS20260512000026,24000000.00,36,0.2400,2026-05-12,2026-05-12,2029-05-12,23666666.66,ACTIVE,2026-05-12 09:36:05,2026-06-12 09:15:00
7d5f5758-22b2-5166-be2e-bfc979b77475,LN202605000027,PAY20260513000027,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,8802faf9-c9e6-5189-8089-a5d80f1e2b17,DIS20260513000027,32000000.00,36,0.2000,2026-05-13,2026-05-13,2029-05-13,30222222.22,ACTIVE,2026-05-13 09:37:05,2026-07-13 09:15:00
f7cfb30e-062c-5533-9295-f2fd8f86d7ed,LN202502000028,PAY20250205000028,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,4764a209-dd42-5276-a545-7f7ee85bf15d,DIS20250205000028,40000000.00,6,0.2400,2025-02-05,2025-02-05,2025-08-05,0.00,CLOSED,2025-02-05 09:38:05,2025-08-05 09:15:00
