transaction_id,transaction_reference,contract_id,installment_id,transaction_type,transaction_amount,principal_amount,interest_amount,payment_method,transaction_status,external_reference,transaction_at,created_at,updated_at
8dc032ac-2308-54f2-9476-a981a1d1bd1c,TRX20260220000010D,9adbee12-94c1-5c5c-9f27-b85ae554533e,,DISBURSEMENT,40000000.00,40000000.00,0.00,BANK_TRANSFER,PENDING,,2026-02-20 09:21:00,2026-02-20 09:21:00,2026-02-20 09:21:00
961d1aea-789e-5816-b26a-82403e71c0d6,TRX20260411000011D,b8a9a90b-b682-59a3-9f6b-7573bca28843,,DISBURSEMENT,48000000.00,48000000.00,0.00,BANK_TRANSFER,SUCCESS,BANK20260411000011,2026-04-11 09:22:00,2026-04-11 09:22:00,2026-04-11 09:22:00
a2f77d16-7131-5a83-b484-fb93ce997791,TRX20260412000012D,8344d69e-c363-5cb1-823d-2b2f90b3f593,,DISBURSEMENT,56000000.00,56000000.00,0.00,BANK_TRANSFER,SUCCESS,BANK20260412000012,2026-04-12 09:23:00,2026-04-12 09:23:00,2026-04-12 09:23:00
f15dfa85-4b0c-5306-b972-a52c73543058,TRX20260512000012R01,8344d69e-c363-5cb1-823d-2b2f90b3f593,1a4b250d-75f0-5d06-bef9-488c9dc35d8b,REPAYMENT,1897777.78,777777.78,1120000.00,BANK_TRANSFER,SUCCESS,BANK2026051200001201,2026-05-12 09:15:00,2026-05-12 09:15:01,2026-05-12 09:15:02
998e65f6-4abd-53f9-8937-4a67e9776f3b,TRX20260413000013D,62a7c349-5f90-5ac9-9f47-4cb7479a1ab8,,DISBURSEMENT,16000000.00,16000000.00,0.00,BANK_TRANSFER,SUCCESS,BANK20260413000013,2026-04-13 09:24:00,2026-04-13 09:24:00,2026-04-13 09:24:00
4b41c3fa-0b59-5204-94b0-662009dfc01e,TRX20260513000013R01,62a7c349-5f90-5ac9-9f47-4cb7479a1ab8,55bf8efb-638c-5c48-a09c-c982b549fcb6,REPAYMENT,711111.11,444444.44,266666.67,BANK_TRANSFER,SUCCESS,BANK2026051300001301,2026-05-13 09:15:00,2026-05-13 09:15:01,2026-05-13 09:15:02
802e18da-16d1-52db-9dde-eca8b485f852,TRX20260613000013R02,62a7c349-5f90-5ac9-9f47-4cb7479a1ab8,a15ae849-c33f-5c8d-b19a-232a062b4b34,REPAYMENT,703703.70,444444.44,259259.26,AUTO_DEBIT,SUCCESS,BANK2026061300001302,2026-06-13 09:15:00,2026-06-13 09:15:01,2026-06-13 09:15:02
e4aa5934-72c4-5c12-b66d-080649f51d9c,TRX20260713000013R03,62a7c349-5f90-5ac9-9f47-4cb7479a1ab8,6dc62ddb-8696-599b-adc3-c2ef61354e74,REPAYMENT,696296.29,444444.44,251851.85,BANK_TRANSFER,SUCCESS,BANK2026071300001303,2026-07-13 09:15:00,2026-07-13 09:15:01,2026-07-13 09:15:02
9689e3d7-c823-516a-baf0-9b8af6294130,TRX20250106000014D,50c2d458-fb8f-533f-9ca6-dc0ecfa6637a,,DISBURSEMENT,24000000.00,24000000.00,0.00,BANK_TRANSFER,SUCCESS,BANK20250106000014,2025-01-06 09:25:00,2025-01-06 09:25:00,2025-01-06 09:25:00
c792e3de-774e-57bf-a29b-ba76219a5ff7,TRX20250206000014R01,50c2d458-fb8f-533f-9ca6-dc0ecfa6637a,9b539790-3e0e-5fd9-b274-0ce803c4e99c,REPAYMENT,4480000.00,4000000.00,480000.00,BANK_TRANSFER,SUCCESS,BANK2025020600001401,2025-02-06 09:15:00,2025-02-06 09:15:01,2025-02-06 09:15:02
